filename,system,genre,condition,version_note,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_contrast_mean,spectral_contrast_std,zero_crossing_rate_mean,zero_crossing_rate_std,harmonic_ratio,percussive_ratio,tempo,onset_density,onset_strength_mean,onset_strength_std,ioi_mean,ioi_std,ioi_cv,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cqt_mean,chroma_cqt_std,tonnetz_mean,tonnetz_std,repetition_score,self_similarity_mean,self_similarity_std,rms_mean,rms_std,rms_var,dynamic_range_db,crest_factor,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_delta_mean,mfcc_delta_std,mfcc_delta2_mean,mfcc_delta2_std,chroma_entropy,key_clarity,spectral_centroid_cv,onset_strength_cv,rms_cv
2KwOuFfwQyT9mZqjvchd81_lyria.mp3,lyria,kpop,ai,current,2390.22495333048,1406.0394116320035,1976946.827062471,2355.490391163694,842.7564952562576,4903.953679796343,2648.4211482603146,0.0698081105947494,0.1850310415029525,21.153836781671433,10.807787013573549,0.0994884384674922,0.0846393025220559,0.3571138318161215,0.6428861681838784,117.45383522727272,5.066666666666666,2.167227983474731,3.218041181564331,0.181453950233515,0.0506616497984819,0.2791983846771313,0.451374888420105,0.3112657368183136,0.0968863666057586,0.6458454132080078,0.2286620736122131,-0.0082618844353763,0.0468148645442196,0.1209560405486584,0.1209560405486584,0.2061530678261221,0.1502561122179031,0.1030082404613494,0.0106106968596577,80.0,5.447349789344952,-161.69522094726562,127.9697494506836,80.03010559082031,52.45340347290039,9.111468315124512,31.439075469970703,14.906656265258787,24.284940719604492,1.6020523309707642,15.083765983581545,11.494918823242188,15.750409126281738,-4.731281280517578,14.12205410003662,2.0888803005218506,11.81979274749756,-4.06685209274292,10.917837142944336,3.010777711868286,10.67754077911377,-0.5437493324279785,10.98995876312256,3.5049726963043213,10.311394691467283,3.463248491287231,11.638632774353027,0.0042159901931881,5.339865684509277,-0.0024576368741691,4.060332298278809,3.5697712898254395,1.2682227695200397,0.5882456417638869,1.4848650930837175,0.6855510825636872
2O9bMJticxbQ8FH3NiQ7Xh_lyria.mp3,lyria,kpop,ai,current,2949.168059749089,858.9627790038276,737817.0557139782,2854.642939460928,424.1857731435718,6427.777798773704,1649.9279395360784,0.0498927049338817,0.0529164224863052,20.471383092345494,10.97940119148934,0.1120049916553792,0.0675031572097826,0.3788441960597121,0.6211558039402879,135.99917763157896,5.633333333333334,2.376920700073242,3.760491609573364,0.1771903682107763,0.0722630671411949,0.4078272869506915,0.5050390958786011,0.2949841916561126,0.0870156660676002,0.6277841925621033,0.2246756255626678,-0.0110080063389996,0.0451780423972071,0.1175628650120113,0.1175628650120113,0.2061127917128756,0.1659662872552871,0.0706530213356018,0.0049918494187295,80.0,5.504515442266921,-78.7896728515625,85.53033447265625,63.72030258178711,29.191965103149418,3.585066080093384,21.806856155395508,17.190265655517578,15.275741577148438,4.564522743225098,13.171496391296388,11.67151927947998,12.529086112976074,2.637061595916748,10.601346969604492,8.423663139343262,9.174680709838867,1.3066627979278564,8.548641204833984,7.2617998123168945,8.708059310913086,2.5131311416625977,9.978748321533203,8.421345710754395,10.132001876831056,3.903651714324951,9.516487121582031,-0.0021551856771111,5.1077117919921875,-0.0087852189317345,3.5428600311279297,3.572690486907959,1.3833770963863157,0.29125596154628025,1.5820854306579435,0.42570706654631335
2bAQsNqdo62T8akkIvWzGl_lyria.mp3,lyria,kpop,ai,current,2200.602499268816,1229.1249097415412,1510748.043747152,2478.50629148572,975.1289333962196,5022.869627394543,2849.264123948504,0.0831635147333145,0.2357535362243652,21.295967689514985,10.287154634406548,0.0669417720830108,0.05026924716836,0.4729088676986312,0.5270911323013688,129.19921875,4.566666666666666,2.026488780975342,3.465646743774414,0.2028331332533013,0.0578607657726946,0.2852628899659956,0.4252696633338928,0.3000578880310058,0.0900347307324409,0.6469968557357788,0.2154103368520736,-0.0044027578001083,0.0507626981702755,0.1419231723895865,0.1419231723895865,0.2512113610022066,0.1565334647893905,0.0828145965933799,0.0068582571111619,80.0,5.288012188788759,-154.26531982421875,138.64381408691406,83.39710998535156,47.385948181152344,30.84980010986328,28.091808319091797,31.408910751342773,18.48175811767578,9.944470405578612,11.68709945678711,9.532235145568848,10.728166580200195,2.0372519493103027,8.749307632446289,5.010498523712158,8.989813804626465,-1.139365315437317,7.02329683303833,1.5400539636611938,7.430099487304688,-3.2606887817382812,7.469050407409668,2.658567428588867,9.0549955368042,-1.537044882774353,7.8631463050842285,-0.0240673255175352,5.69230318069458,-0.0132426153868436,3.874861240386963,3.565477132797241,1.2539081340745588,0.5585401771332537,1.7101731705296652,0.5290536221880624
2fCwv2ppU5nTRTckomIGsd_lyria.mp3,lyria,kpop,ai,current,1817.6851109551765,1115.1012806238175,1243450.8660488783,2227.3358984176125,938.6668167082717,3988.109217782507,2677.253636268777,0.1065563187003135,0.282307356595993,20.899963333676933,10.076049838418305,0.0557113033330108,0.0434926753002736,0.5319704788769442,0.4680295211230558,123.046875,4.2,2.027387857437134,3.1603565216064453,0.2048928798185941,0.0726640795438437,0.3546442395078752,0.40863037109375,0.3091903030872345,0.0955986455082893,0.5770958065986633,0.2415532171726226,-0.0224989424480555,0.0709270438042789,0.1341071289756686,0.1341071289756686,0.2180637938002955,0.1531273871660232,0.0863026306033134,0.0074481437914073,80.0,5.4721431018852495,-174.62503051757812,145.9601287841797,93.1138687133789,50.11458969116211,21.55327033996582,25.358877182006836,19.879348754882812,17.572546005249023,11.510184288024902,11.874038696289062,12.50676441192627,13.691975593566896,4.714236736297607,9.730317115783691,5.293064117431641,9.772464752197266,-1.8028122186660769,8.650346755981445,2.478480577468872,8.495855331420898,-1.5388919115066528,9.03756618499756,4.316948413848877,7.943045616149902,-1.2938214540481567,7.302817821502685,-0.020299719646573,5.306126594543457,-0.0160834714770317,3.6119110584259033,3.5725045204162598,1.2850356852510274,0.613473298484456,1.558831730128659,0.56360022948333
2nopDUxom21JoMzFXj9wS0_lyria.mp3,lyria,kpop,ai,current,3000.1525293052905,798.2686506527439,637232.8386149525,2796.443935673595,438.5511846206,6405.852931350378,1523.785958821988,0.0506469905376434,0.0557210631668567,21.80077077372375,10.76751830934802,0.1209622315208978,0.0615652895401431,0.6275958319749507,0.3724041680250493,92.28515625,4.933333333333334,1.7136059999465942,2.3612241744995117,0.2029771545806531,0.0713551135919452,0.3515425848754433,0.3745891451835632,0.2900422215461731,0.0841244980692863,0.5377827882766724,0.2596311867237091,-0.0108775410671863,0.0833961556376496,0.379076349578179,0.379076349578179,0.3187709741271016,0.168350949883461,0.0624027103185653,0.003894098335877,80.0,5.493167117033551,-66.53995513916016,85.17132568359375,61.01612091064453,26.653169631958008,-2.116788864135742,21.817102432250977,16.72709083557129,15.009787559509276,2.3499488830566406,12.19494915008545,12.536404609680176,11.496389389038086,0.1767416149377823,9.807302474975586,7.184915542602539,11.429276466369627,-0.563737154006958,10.332812309265137,0.3415372371673584,9.583084106445312,-5.851354598999023,9.963129043579102,4.429040431976318,9.100412368774414,3.96330189704895,9.055724143981934,0.0082378312945365,4.06071662902832,-2.441465221636463e-05,2.849801778793335,3.531572103500366,1.750201051811175,0.26607602208730463,1.3779271165222975,0.3706703783061271
2oG8Jh9tOn7yOngjIOGgh6_lyria.mp3,lyria,kpop,ai,current,2251.6162100413426,1121.425889013133,1257596.0245488957,2428.6891847808733,731.3627072931855,4873.1038663409445,2394.9092383911025,0.0270006377249956,0.0480466373264789,21.04844540871013,11.182485932664456,0.0766680927099458,0.0720673816379052,0.3272951041630095,0.6727048958369904,112.34714673913044,5.466666666666667,2.4425337314605713,3.883333206176758,0.1830530167077056,0.0734005784244559,0.4009798895675133,0.4696827530860901,0.3086718916893005,0.0952783301472663,0.6919656991958618,0.2077870965003967,-0.0122784783389675,0.0437296841847179,0.1767696827223082,0.1767696827223082,0.2392315892932336,0.1537409275770187,0.1012338325381279,0.0102482894435524,80.0,5.422093268767538,-158.95118713378906,108.74539184570312,86.96829986572266,41.3202018737793,6.287123203277588,30.307865142822266,26.49509048461914,18.578371047973633,8.428378105163574,15.386958122253418,10.269076347351074,15.121670722961426,1.8767110109329224,11.86583137512207,5.481734752655029,11.045706748962402,1.6851781606674194,10.837689399719238,2.5596718788146973,9.536356925964355,-3.5482218265533447,9.114181518554688,2.781294584274292,9.20069694519043,-3.059464931488037,9.283937454223633,-0.0021331838797777,5.620532035827637,-0.001148285344243,3.62977933883667,3.573169231414795,1.3623432366780004,0.4980537464652967,1.5898790489561174,0.6584702854844316
2rYNqQfTjh7bjsV3rN9YyT_lyria.mp3,lyria,kpop,ai,current,1749.5516059612207,990.3036016939544,980701.2235280185,2225.1175962798075,779.2418964194561,3816.551921832672,2436.0177412808207,0.0128722973167896,0.0246261153370142,22.999650847603863,10.394549513753738,0.06591796875,0.0418887675159407,0.6062262569749602,0.3937737430250397,103.359375,4.633333333333334,1.799424171447754,2.7596776485443115,0.2131861053600184,0.0848902360789464,0.3981977903090255,0.4030307531356811,0.2904163599014282,0.0843416601419448,0.5538656115531921,0.2668477892875671,-0.0307325909441038,0.0964706321341256,0.116883686248324,0.116883686248324,0.2006832325213185,0.1671653538942337,0.0758077427744865,0.0057468139566481,80.0,5.215747465432519,-145.34825134277344,96.95510864257812,121.4791488647461,45.401798248291016,32.63978576660156,27.577524185180664,20.39902114868164,15.51885223388672,9.20332145690918,12.664530754089355,13.901211738586426,11.323168754577637,-2.7488224506378174,11.094653129577637,-0.4187503159046173,11.999122619628906,-2.223951816558838,10.587180137634276,1.761054515838623,10.532344818115234,-5.102510452270508,11.180224418640137,-1.182627558708191,10.64931583404541,-3.776177406311035,10.436366081237791,0.0133130215108394,5.372094631195068,0.0023071521427482,3.25518536567688,3.5438663959503174,1.5070121417137248,0.5660328042451857,1.5336448693865252,0.45348955966737875
37xebnhvUyM8VyyDDeo65d_lyria.mp3,lyria,kpop,ai,current,2955.046839178845,1357.8806219721332,1843839.7835274271,2870.9557202306387,621.8658547349278,6282.287011869921,2551.0529733382864,0.0470307953655719,0.0538308508694171,21.43759223728043,10.512570242598768,0.1213065227118808,0.0976623265579847,0.2753454257455988,0.7246545742544012,143.5546875,5.566666666666666,2.261275053024292,3.332358121871948,0.1793251919241592,0.0549972745858278,0.3066901755169316,0.4506606161594391,0.2951840460300445,0.0871336236596107,0.7142664790153503,0.1753724962472915,-0.0076909014069092,0.0356859828453827,0.1231194096776677,0.1231194096776677,0.2168008875192154,0.1595011949539184,0.0893279314041137,0.0079794796183705,80.0,5.318456093959411,-121.02481842041016,84.23575592041016,68.82303619384766,41.151023864746094,27.306148529052734,21.185773849487305,19.141036987304688,15.330438613891602,3.0849807262420654,14.71218204498291,10.325623512268066,15.072080612182615,-0.0512855947017669,12.639790534973145,4.496909141540527,12.916131973266602,-2.127052068710327,10.526023864746094,-1.2148703336715698,10.391135215759276,-6.237117290496826,10.065139770507812,-1.7146090269088743,9.480525016784668,-3.174800157546997,9.791131973266602,0.0005096602253615,5.55239725112915,-0.0046642245724797,3.923572301864624,3.563340902328491,1.4062085078893776,0.45951238537708533,1.4736633286905074,0.5600455305298306
