filename,system,genre,condition,version_note,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_contrast_mean,spectral_contrast_std,zero_crossing_rate_mean,zero_crossing_rate_std,harmonic_ratio,percussive_ratio,tempo,onset_density,onset_strength_mean,onset_strength_std,ioi_mean,ioi_std,ioi_cv,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cqt_mean,chroma_cqt_std,tonnetz_mean,tonnetz_std,repetition_score,self_similarity_mean,self_similarity_std,rms_mean,rms_std,rms_var,dynamic_range_db,crest_factor,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_delta_mean,mfcc_delta_std,mfcc_delta2_mean,mfcc_delta2_std,spotify_id,artist,title,chroma_entropy,key_clarity,spectral_centroid_cv,onset_strength_cv,rms_cv
afrobeats_0076_Magic_Sounds_Favor.mp3,human,afrobeats,human,,1654.2886384001315,936.1271548211464,876334.0499935346,2248.0483762064387,623.9836916593878,3632.586367580543,2294.5759124112387,0.0071030845865607,0.0152860851958394,23.61342673959448,10.461297389997156,0.0436679143285603,0.0366606614677021,0.7509335533696886,0.2490664466303114,112.34714673913044,6.0,2.0818965435028076,2.6242847442626953,0.1665610154676395,0.083263129042263,0.4998956617098665,0.4402577877044678,0.3049318790435791,0.092983454465866,0.4312440454959869,0.2432028204202652,-0.0280633293281486,0.1058587554619524,0.1257702654150981,0.1257702654150981,0.2172011778858018,0.0753789469599723,0.0222191084176301,0.0004936887416988,80.0,8.81601526426211,-254.2145843505859,85.61918640136719,95.5840835571289,43.60626602172851,27.28493881225586,28.671905517578125,47.231388092041016,19.251699447631836,20.43250846862793,12.912592887878418,22.54949188232422,10.287712097167969,10.425371170043944,10.862428665161133,12.77839469909668,9.664236068725586,3.1168718338012695,9.341912269592283,11.013927459716797,9.05260181427002,4.758327007293701,8.19297981262207,7.584692001342773,12.43525505065918,5.2657389640808105,8.686263084411621,0.0185262933373451,4.494483947753906,-0.0134572796523571,3.0577006340026855,5VT96BrJKQ6BM4ED2nMXqm,Magic Sounds,Favor,3.5790560245513916,1.1127975238083403,0.5658789724424522,1.260526010442989,0.2947654389487878
afrobeats_0081_G2_Beatzz_Beniboo.mp3,human,afrobeats,human,,1526.4419538254665,1318.793148091716,1739215.3674536592,1919.0213990790448,926.7962385356682,3073.1730836094716,2962.6687122157505,0.022093515843153,0.0549389272928237,22.23883487049312,9.912582688113268,0.0544501620549535,0.0521214070912651,0.180728869020771,0.819271130979229,135.99917763157896,4.333333333333333,1.991188406944275,3.7982664108276367,0.2302195503524407,0.1148157920547528,0.4987230314670605,0.4405075311660766,0.3270201086997986,0.1069421470165252,0.7172326445579529,0.2466012090444564,-0.0026449020718638,0.0521492573243776,0.117861313440209,0.117861313440209,0.2083149988988994,0.1193257495760917,0.1484246999025344,0.0220298916101455,80.0,4.891128445723636,-309.2624206542969,102.60298919677734,98.3244857788086,50.57659149169922,40.87531661987305,25.796371459960938,22.524316787719727,19.04001235961914,8.903890609741211,16.21875,5.751476287841797,13.79196834564209,0.9674723148345948,12.824068069458008,-0.4755341708660126,12.54226303100586,-0.1386101841926574,10.89954948425293,1.77985942363739,10.62679958343506,-0.8181646466255188,11.10803508758545,-2.2409753799438477,11.22805404663086,-4.482118129730225,10.300494194030762,0.0095446491613984,6.184382915496826,-0.0057387039996683,4.4069037437438965,5uY0tHHPXSSkli4JJdWzeY,G2 Beatzz,Beniboo,3.5721771717071533,1.2258435511546963,0.8639654752586947,1.907537427091489,1.2438614490621802
afrobeats_0004_Pojbeatz_Coco.mp3,human,afrobeats,human,,1821.768416906444,1240.011332261537,1537628.1041370323,2050.0310074652143,916.9336726072776,3914.6763284878098,2700.0847495629205,0.0186721310019493,0.0386433824896812,23.327800108471067,10.528636751948437,0.0651795000483746,0.0525783453065272,0.3803626662550466,0.6196373337449533,123.046875,4.366666666666666,2.6240642070770264,4.603797912597656,0.2282700156985871,0.1058655400333466,0.4637733068417266,0.4087986946105957,0.3076940774917602,0.09467563778162,0.6154051423072815,0.2387103289365768,0.0024787622536143,0.0647726751385081,0.1155794618636842,0.1155794618636842,0.2080505076644599,0.2405322790145874,0.1359743624925613,0.0184890255331993,80.0,3.8664523175500256,-144.43373107910156,110.17928314208984,109.5863265991211,50.58354949951172,18.11527442932129,35.200347900390625,49.81145095825195,21.565914154052734,22.19635009765625,12.873428344726562,3.875574350357056,13.502118110656738,5.922856330871582,10.738486289978027,13.022031784057615,9.717975616455078,-0.8349050283432007,9.942556381225586,-4.857724189758301,8.681217193603516,-6.107219219207764,8.20698070526123,3.2526326179504395,8.552579879760742,-4.488672256469727,8.74163818359375,-0.0068328543566167,7.440649509429932,-0.0063345171511173,5.447715759277344,1sDSPwAuuqc98U6jfqueDU,Pojbeatz,Coco,3.5596554279327393,1.4341109040521645,0.6806635359104204,1.7544532256512242,0.5653060911121388
afrobeats_0106_NAHZRASHIDmp3_Only_Us.mp3,human,afrobeats,human,,1321.1282234432297,1208.4793728258926,1460422.3945456624,1695.4653183088649,1113.7716861093616,2860.8910339166505,3045.5107653220025,0.0075288573279976,0.0178563371300697,22.12509759275167,10.467075298596193,0.0357877654556888,0.0266692605918541,0.519956992652139,0.480043007347861,129.19921875,5.166666666666667,2.726245641708374,4.779324054718018,0.1936001413552434,0.0749952007728182,0.3873716219824809,0.427740067243576,0.2976864874362945,0.088617242872715,0.5203066468238831,0.2575092315673828,0.000830189151561,0.0736441520247317,0.1229131403055524,0.1229131403055524,0.2089507563059933,0.1671220511198043,0.0891522243618965,0.0079481191933155,80.0,5.032752965054846,-222.66014099121097,112.73519134521484,137.42100524902344,46.247650146484375,49.604496002197266,41.628116607666016,27.078128814697266,24.57123565673828,10.19151782989502,19.642972946166992,0.4347216784954071,15.081515312194824,-0.0398463197052478,12.062867164611816,-3.146352529525757,10.708474159240724,-1.70223069190979,10.71329402923584,2.3542912006378174,9.52793312072754,-3.735199213027954,9.812196731567385,-1.0073918104171753,9.2871732711792,-9.010405540466309,9.09511661529541,0.0087917419150471,6.880948543548584,-0.0032673687674105,5.566946029663086,2aZRyaLbCEwMp67naSDwsD,NAHZRASHID.mp3,Only Us,3.552191972732544,1.3919032678619416,0.9147328407504351,1.753079026124658,0.5334557810365826
afrobeats_0056_G2_Beatzz_Condo.mp3,human,afrobeats,human,,1762.2583103035531,1200.1797243140995,1440431.370654668,1946.329936129546,822.649793152083,3616.919795647494,2534.489079536679,0.0219278484582901,0.036714419722557,22.7323004097073,10.964990640515897,0.0528874352989551,0.037678196088889,0.1295875562748817,0.8704124437251183,129.19921875,5.266666666666667,3.166489601135254,5.911198139190674,0.1899007755968629,0.0821055274470747,0.4323601480247512,0.3835362792015075,0.3134821951389313,0.0982710868120193,0.694653332233429,0.202401727437973,-0.0091966582881346,0.0305492526585446,0.1128941700326773,0.1128941700326773,0.2012318285768065,0.1143707558512687,0.1007706075906753,0.010154714807868,80.0,6.820601782040806,-238.25271606445312,129.9305877685547,96.15008544921876,45.36466979980469,20.097341537475582,30.71405982971191,28.918701171875,28.484861373901367,1.3548015356063845,22.012714385986328,9.937532424926758,11.757538795471191,7.423403263092041,12.95811653137207,6.146131992340088,14.497435569763184,-7.653117656707764,10.690673828125,-2.5096826553344727,10.7813720703125,-2.6089601516723633,9.89725399017334,3.3333053588867188,9.598163604736328,0.5512761473655701,10.416104316711426,-0.0006323705310933,7.942453384399414,0.0073231356218457,6.2982401847839355,3o0vsx7aHXOhhiJAtAzCKZ,G2 Beatzz,Condo,3.5630998611450195,1.3271435976281565,0.6810464262230078,1.8667985320036118,0.8810871866022449
afrobeats_0069_Magic_Sounds_Summer_Beat_5.mp3,human,afrobeats,human,,1712.531911468942,1170.0827192771364,1369093.569950978,2136.196737293338,778.3534273674293,3512.0454298084364,2731.805837292856,0.0171592514961957,0.0378675758838653,23.330093101393125,10.1523551835791,0.0588972251112616,0.0476614500836596,0.580638698536159,0.419361301463841,107.666015625,4.9,2.2002804279327393,3.4532010555267334,0.2042083682788184,0.0850735904616093,0.4166018815911261,0.3886304199695587,0.2984686493873596,0.0890835374593734,0.5691502690315247,0.2479074150323867,0.021158546567805,0.0702241024404852,0.1347039464897687,0.1347039464897687,0.2233379189209127,0.0842311158776283,0.0517762340605258,0.0026807782705873,80.0,7.829794024701867,-254.23556518554688,94.03216552734376,118.37804412841795,53.78215408325195,26.861099243164062,32.55644607543945,27.2687931060791,19.765880584716797,18.805952072143555,13.51124095916748,6.762628078460693,12.297637939453123,-4.461477756500244,10.150542259216309,0.7951967120170593,12.726536750793455,-3.7691643238067623,11.681451797485352,-0.3478615581989288,9.415937423706056,-5.908393859863281,9.902938842773438,-3.984211444854736,10.315352439880373,-8.6397705078125,8.774678230285645,0.0077561479993164,5.528396129608154,-0.023414010182023,4.013328552246094,4arOHoqAoUNSDZYhnT6DMn,Magic Sounds,Summer Beat 5,3.5640053749084473,1.3039705077294463,0.6832472501335274,1.5694367915703475,0.6146924857825414
afrobeats_0030_KHAY_BEATZ_I_made_it_.mp3,human,afrobeats,human,,2223.1037111388905,961.9302239428648,925309.75573477,2691.583396705718,544.644654904976,5260.3348581414475,2299.3614787732754,0.0176930539309978,0.0256879348307847,21.973107132724618,11.42582354687204,0.0592951818885448,0.0342479802567817,0.6555047032086985,0.3444952967913015,117.45383522727272,6.8,2.272423505783081,3.106801748275757,0.1469834567653005,0.0437569310529757,0.2976997004693238,0.4159263968467712,0.2975504100322723,0.0885362476110458,0.5212306380271912,0.2538370192050934,0.0012052540044646,0.0974475942077787,0.1304458526669915,0.1304458526669915,0.2129635372455267,0.1663410812616348,0.0823775827884674,0.0067860661074519,80.0,5.26884092210631,-139.80023193359375,76.43479919433594,86.40166473388672,31.758071899414062,41.2929573059082,19.21978187561035,40.51900100708008,12.999131202697754,10.68843936920166,11.383028984069824,18.74931907653809,11.602152824401855,-0.0034414001274853,11.022445678710938,6.456914901733398,10.242925643920898,-4.881917953491211,9.408915519714355,-1.016424298286438,8.517695426940918,-3.127962112426758,9.663019180297852,5.955777168273926,9.520730018615724,-2.9194464683532715,9.921104431152344,0.0128184230998158,4.999939441680908,-0.000270740565611,3.333918571472168,0p8hsJSvFePUor0bwFnFcI,KHAY BEATZ,I made it !,3.5486373901367188,1.4582750643195816,0.43269696286460113,1.3671755023799712,0.4952329401380644
afrobeats_0016_Pojbeatz_Comfort_and_Joy.mp3,human,afrobeats,human,,2043.8541403680963,1077.5736297029546,1161164.9274312004,2519.217237477071,725.7464663479304,4696.663266586445,2649.475723468352,0.0180467199534177,0.0327506922185421,22.314200903906418,11.08624041337876,0.0550824333639705,0.0460900840044308,0.443489194475281,0.556510805524719,112.34714673913044,6.0,2.844367265701294,4.337328910827637,0.1668204563017013,0.0573232159764809,0.3436222226416266,0.4466173052787781,0.3094900250434875,0.0957840830087661,0.6034646034240723,0.2228023260831833,-0.0092859657778821,0.0480829466387748,0.1305898816709761,0.1305898816709761,0.2136202879106612,0.1328445971012115,0.0654996633529663,0.0042902054265141,80.0,6.356880903165369,-192.8488311767578,100.10662078857422,91.4262924194336,42.46735763549805,36.42389297485352,26.929412841796875,31.601726531982425,20.10491180419922,8.086423873901367,14.013803482055664,12.31063747406006,11.459476470947266,-1.790584921836853,10.106478691101074,6.405889987945557,9.059151649475098,-4.964058876037598,8.47380256652832,2.5339038372039795,11.45641803741455,-0.2809361219406128,11.487587928771973,0.1300385892391204,10.30800724029541,-0.2379403561353683,10.714672088623049,-0.0085167596116662,6.0257439613342285,-0.0092174857854843,4.664208889007568,6hTxTLHDB8EpZ6p9Z9Vd6Y,Pojbeatz,Comfort and Joy,3.5494701862335205,1.5008061362385823,0.5272262870523783,1.524883570056751,0.49305477778488793
afrobeats_0107_Blaze_Javu_Bridge_-_Instrumental_Version.mp3,human,afrobeats,human,,2108.658213438878,1195.4124343502824,1429010.8881992684,2369.700096646446,730.3166614703044,4512.322714601877,2665.73425017168,0.023013025522232,0.0434905812144279,23.46724637216401,11.116237279344704,0.0777104144494969,0.066505156405344,0.312923840514767,0.6870761594852329,95.703125,5.7,2.5007824897766113,4.094003200531006,0.1753789515806322,0.0692952105636146,0.3951170305163758,0.3350680470466614,0.3159529864788055,0.0998262912034988,0.5631469488143921,0.291748046875,-0.0050959213055119,0.0970409425937073,0.1206811956290542,0.1206811956290542,0.2063103537025008,0.1496873497962951,0.1233323663473129,0.015210872516036,80.0,4.9111782463968074,-185.80545043945312,104.9779052734375,86.54780578613281,42.097660064697266,16.970745086669922,30.43004035949707,26.517314910888672,17.632530212402344,10.631797790527344,14.402748107910156,7.278844833374023,13.939692497253418,-5.302958965301514,11.552420616149902,-2.5114452838897705,12.844788551330566,-7.94037389755249,11.821874618530272,-6.458208084106445,11.45617389678955,-6.70999813079834,10.65030574798584,-0.8515747785568237,9.771163940429688,-7.6619553565979,10.122974395751951,0.0010661019477993,5.581302642822266,-0.0046231974847614,4.716310977935791,726yph8HhJcbbukvhRPFjK,Blaze Javu,Bridge - Instrumental Version,3.5608906745910645,1.4532958521865096,0.5669066834689641,1.637088878022736,0.8239331275004786
afrobeats_0035_Hitsound_Crash_-_Instrumental.mp3,human,afrobeats,human,,1836.332803182779,1125.1541079782328,1265971.7667002925,2402.86052612355,709.4929353615502,4147.674919577206,2680.239312391328,0.0136113185435533,0.029576351866126,22.662687704506347,11.189025651839254,0.0520907658910603,0.0540671619015616,0.2667127692218422,0.7332872307781578,99.38401442307692,6.2,2.6221652030944824,4.084260940551758,0.1597783906355334,0.0401595388551493,0.2513452457207202,0.4637454450130462,0.3214273750782013,0.1033155620098114,0.6635789275169373,0.1991544663906097,-0.0087873757194264,0.0447129654275351,0.1254986880635302,0.1254986880635302,0.2097449188197943,0.1944731622934341,0.1261962652206421,0.0159254968166351,80.0,4.301914610650493,-182.4410095214844,86.87662506103516,96.71831512451172,43.8338623046875,53.18453598022461,20.414554595947266,40.918983459472656,13.975478172302246,6.2432074546813965,12.735918045043944,15.186711311340332,11.528305053710938,0.3947266340255737,12.295283317565918,6.499368190765381,12.388964653015137,3.234149694442749,10.318483352661133,2.1128439903259277,10.979828834533691,-0.7557000517845154,11.379257202148438,5.8518877029418945,9.6326322555542,1.1046795845031738,8.68117904663086,-0.0021988586522638,5.155734062194824,-0.0038719286676496,4.651745319366455,65sSsvr0rmtDskyHfjGROT,Hitsound,Crash - Instrumental,3.5572097301483154,1.4018895612061106,0.6127179703090996,1.557591007452948,0.6489135244550471
