genre,human,suno,lyria,suno_ratio,lyria_ratio
metal,9.429481463174332,9.470395594873171,7.288829637295349,1.004338958813231,0.7729830813879817
afrobeats,8.809503656350104,13.937145163393192,7.329095287318114,1.5820579350514212,0.8319532601629746
dancepop,7.644086388398073,9.719746955500838,8.55181838446144,1.2715380833807857,1.11874957319178
kpop,7.990788436319201,11.040395821795602,7.76519901167487,1.3816403612458976,0.9717688152499449
