genre,suno_lyria_dist,human_null,convergence_ratio
metal,3.8177744698129543,1.4114435382562454,2.7048722576105226
afrobeats,5.7987649211094565,1.2507866474999947,4.636094359257606
dancepop,4.87205278483189,1.1132013334240338,4.376614219322048
kpop,5.137855031491323,1.1493038444935344,4.4704061994636675
