spotify_id,title,artist,audio_path,year,tempo,onset_density,harmonic_ratio,self_similarity_mean,tempo_label,energy_label,rhythm_label,hp_label,structure_label,era_label,seed_lyria,prompt_suno,prompt_lyria,prompt_udio
48G4rDLisHuVgCKg872Tu5,NASA,ATEEZ,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0057_ATEEZ_NASA.mp3,2026,129.19921875,3.5,0.7495402341216085,0.1153180810175567,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),1383411188,"Instrumental K-pop at 129.2 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.75). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 129.2 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.75). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1383411188","Instrumental K-pop, 129.2 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.75). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
56s2s5e8WuBsWVKnmz6J9L,BEAUTIFUL MONSTER,STAYC,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0175_STAYC_BEAUTIFUL_MONSTER.mp3,2022,161.4990234375,3.8333333333333335,0.7163504958139133,0.0945829320476996,Presto,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","through-composed, minimal repetition","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",506018972,"Instrumental K-pop at 161.5 BPM (Presto), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.72). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: moderate. Tempo: 161.5 BPM, Presto. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.72). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 506018972","Instrumental K-pop, 161.5 BPM (Presto), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.72). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
7jSNVwC3uUh8WXUzQpr917,What You Want,Darling I Dreamt,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0111_Darling_I_Dreamt_What_You_Want.mp3,2025,123.046875,3.1666666666666665,0.6611204157860456,0.1136869186019978,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),125934,"Instrumental K-pop at 123.0 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.66). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 123.0 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 125934","Instrumental K-pop, 123.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
5JJl9DV0DAg5ekxnBSqZyO,Ice Cream,YUNA,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0021_YUNA_Ice_Cream.mp3,2026,143.5546875,3.9,0.6148118617986402,0.1082188334521321,Allegro,moderate,"syncopated, groove-forward",balanced harmonic and percussive content,"some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),1224958508,"Instrumental K-pop at 143.6 BPM (Allegro), moderate, syncopated, groove-forward. Balanced harmonic and percussive content (harmonic ratio 0.61). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 143.6 BPM, Allegro. Rhythm: syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.61). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1224958508","Instrumental K-pop, 143.6 BPM (Allegro), moderate energy. Syncopated, groove-forward, balanced harmonic and percussive content (harmonic ratio 0.61). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
2bAQsNqdo62T8akkIvWzGl,RUDE!,Hearts2Hearts,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0029_Hearts2Hearts_RUDE.mp3,2026,129.19921875,3.7333333333333334,0.7148903693392465,0.1115565274234396,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),130256582,"Instrumental K-pop at 129.2 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.71). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 129.2 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.71). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 130256582","Instrumental K-pop, 129.2 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.71). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
1ex8euBuzVyqjThnYfwY2k,HELLO,TREASURE,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0164_TREASURE_HELLO.mp3,2022,135.99917763157896,2.8333333333333335,0.7650812246802434,0.1039042561152832,Allegro,relaxed,steady groove,"melodic, harmonic-leaning","through-composed, minimal repetition","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",971551866,"Instrumental K-pop at 136.0 BPM (Allegro), relaxed, steady groove. Melodic, harmonic-leaning (harmonic ratio 0.77). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: relaxed. Tempo: 136.0 BPM, Allegro. Rhythm: steady groove, melodic, harmonic-leaning (harmonic ratio 0.77). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 971551866","Instrumental K-pop, 136.0 BPM (Allegro), relaxed energy. Steady groove, melodic, harmonic-leaning (harmonic ratio 0.77). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
70t7Q6AYG6ZgTYmJWcnkUM,I AM,IVE,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0119_IVE_I_AM.mp3,2023,123.046875,3.8333333333333335,0.7585759161748721,0.1060189890497816,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","through-composed, minimal repetition","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",50483002,"Instrumental K-pop at 123.0 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.76). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: moderate. Tempo: 123.0 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.76). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 50483002","Instrumental K-pop, 123.0 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.76). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
7jp2VW62Yt2bDOaRas3hR6,PSYCHO,BABYMONSTER,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0075_BABYMONSTER_PSYCHO.mp3,2025,129.19921875,4.033333333333333,0.6627899790858284,0.1066032282787563,Allegro,moderate,"syncopated, groove-forward","melodic, harmonic-leaning","through-composed, minimal repetition",current-wave K-pop (contemporary idol pop production),1098988991,"Instrumental K-pop at 129.2 BPM (Allegro), moderate, syncopated, groove-forward. Melodic, harmonic-leaning (harmonic ratio 0.66). Through-composed, minimal repetition. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: moderate. Tempo: 129.2 BPM, Allegro. Rhythm: syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1098988991","Instrumental K-pop, 129.2 BPM (Allegro), moderate energy. Syncopated, groove-forward, melodic, harmonic-leaning (harmonic ratio 0.66). Through-composed, minimal repetition. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
0RDqNCRBGrSegk16Avfzuq,Talk that Talk,TWICE,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0138_TWICE_Talk_that_Talk.mp3,2022,117.45383522727272,5.266666666666667,0.6738644494979503,0.1012623877809227,Moderato,driving,"dense, fast-hitting groove","melodic, harmonic-leaning","through-composed, minimal repetition","4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop)",1762323189,"Instrumental K-pop at 117.5 BPM (Moderato), driving, dense, fast-hitting groove. Melodic, harmonic-leaning (harmonic ratio 0.67). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals.","prompt: ""An instrumental K-pop track. Era: 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). Mood: driving. Tempo: 117.5 BPM, Moderato. Rhythm: dense, fast-hitting groove, melodic, harmonic-leaning (harmonic ratio 0.67). Structure: through-composed, minimal repetition."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1762323189","Instrumental K-pop, 117.5 BPM (Moderato), driving energy. Dense, fast-hitting groove, melodic, harmonic-leaning (harmonic ratio 0.67). Through-composed, minimal repetition. 4th-generation K-pop, peak era (Y2K minimalism meets maximalist pop). No vocals, no lyrics."
21AdIbIIP9cFgwnwEnEl07,Born Savage,PLAVE,/Users/zoefleurslendebroek/Desktop/ai-music-homogenization-v2/data/human_corpus/kpop/audio/kpop_0004_PLAVE_Born_Savage.mp3,2026,129.19921875,2.6,0.800922288649848,0.1076838402682691,Allegro,relaxed,steady groove,"strongly melodic, harmonic-forward","some recurring elements, mostly varied",current-wave K-pop (contemporary idol pop production),1988346494,"Instrumental K-pop at 129.2 BPM (Allegro), relaxed, steady groove. Strongly melodic, harmonic-forward (harmonic ratio 0.80). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals.","prompt: ""An instrumental K-pop track. Era: current-wave K-pop (contemporary idol pop production). Mood: relaxed. Tempo: 129.2 BPM, Allegro. Rhythm: steady groove, strongly melodic, harmonic-forward (harmonic ratio 0.80). Structure: some recurring elements, mostly varied."" | negative_prompt: ""vocals, lyrics, singing, spoken word"" | seed: 1988346494","Instrumental K-pop, 129.2 BPM (Allegro), relaxed energy. Steady groove, strongly melodic, harmonic-forward (harmonic ratio 0.80). Some recurring elements, mostly varied. current-wave K-pop (contemporary idol pop production). No vocals, no lyrics."
